"country","pop2020","MedianAge","MedianAgeMale","MedianAgeFemale"
"Belize","397.6280","22.7000","22.5000","22.9000"
"Solomon Islands","686.8840","22.5000","22.3000","22.8000"
"Jordan","10203.1340","22.5000","22.9000","22"
"Guatemala","17915.5680","22.1000","21.4000","22.8000"
"Vanuatu","307.1450","22","21.6000","22.4000"
"Swaziland","1160.1640","21.7000","21.5000","21.9000"
"Namibia","2540.9050","21.2000","20.4000","21.9000"
"Western Sahara","597.3390","21.1000","20.9000","21.3000"
"Ghana","31072.9400","21.1000","20.6000","21.6000"
"Gambia","2416.6680","21","20.7000","21.3000"
"Ivory Coast","26378.2740","20.9000","21","20.9000"
"Mauritania","4649.6580","20.5000","19.5000","21.4000"
"Guinea-Bissau","1968.0010","20.1000","19.7000","20.6000"
"Zimbabwe","14862.9240","20","19.6000","20.4000"
"Iraq","40222.4930","20","19.8000","20.3000"
"Comoros","869.6010","19.9000","19.2000","20.5000"
"Sudan","43849.2600","19.9000","19.7000","20.1000"
"Equatorial Guinea","1402.9850","19.8000","19.3000","20.3000"
"Togo","8278.7240","19.8000","19.5000","20.1000"
"Eritrea","3546.4210","19.7000","19.2000","20.1000"
"Central African Republic","4829.7670","19.7000","19.4000","20"
"Republic of the Congo","5518.0870","19.7000","19.5000","19.8000"
"Madagascar","27691.0180","19.7000","19.5000","19.9000"
"Kenya","53771.2960","19.7000","19.6000","19.9000"
"Yemen","29825.9640","19.5000","19.3000","19.6000"
"Sierra Leone","7976.9830","19","18.4000","19.6000"
"Rwanda","12952.2180","19","18.3000","19.8000"
"Timor-Leste","1318.4450","18.9000","18.3000","19.6000"
"Guinea","13132.7950","18.9000","18.7000","19.1000"
"Afghanistan","38928.3460","18.9000","18.8000","18.9000"
"Senegal","16743.9270","18.8000","18","19.7000"
"Gabon","2225.7340","18.6000","18.4000","18.8000"
"DR Congo","89561.4030","18.6000","18.3000","18.8000"
"Cameroon","26545.8630","18.5000","18.4000","18.7000"
"Sao Tome and Principe","219.1590","18.4000","18","18.8000"
"Nigeria","206139.5890","18.4000","18.3000","18.5000"
"Benin","12123.2000","18.2000","17.9000","18.6000"
"Somalia","15893.2220","18.1000","18.3000","17.9000"
"Ethiopia","114963.5880","17.9000","17.7000","18.1000"
"Liberia","5057.6810","17.8000","17.5000","18"
"Chad","16425.8640","17.8000","16.8000","18.8000"
"Tanzania","59734.2180","17.7000","17.5000","18"
"South Sudan","11193.7250","17.3000","17.2000","17.5000"
"Burkina Faso","20903.2730","17.3000","17.1000","17.4000"
"Mozambique","31255.4350","17.2000","16.6000","17.8000"
"Burundi","11890.7840","17","16.8000","17.3000"
"Zambia","18383.9550","16.8000","16.6000","16.9000"
"Malawi","19129.9520","16.5000","16.4000","16.7000"
"Angola","32866.2720","15.9000","15.4000","16.3000"
"Mali","20250.8330","15.8000","15.1000","16.4000"
"Uganda","45741.0070","15.8000","15.7000","15.9000"
"Niger","24206.6440","15.4000","15.3000","15.5000"
